language_group,layer,condition,model,count,mean,std,min,25%,50%,75%,max
English,early,GNS,BERT,1.0,0.11608517169952393,,0.11608517169952393,0.11608517169952393,0.11608517169952393,0.11608517169952393,0.11608517169952393
English,early,GNS,GPT,1.0,0.15838706493377686,,0.15838706493377686,0.15838706493377686,0.15838706493377686,0.15838706493377686,0.15838706493377686
English,early,GNS,T5,2.0,0.17183679342269897,0.0060170526808092754,0.16758209466934204,0.1697094440460205,0.17183679342269897,0.17396414279937744,0.1760914921760559
English,early,NGNS,GPT,1.0,0.1493207812309265,,0.1493207812309265,0.1493207812309265,0.1493207812309265,0.1493207812309265,0.1493207812309265
English,middle,GNS,GPT,2.0,0.15258336067199707,0.003947895300015444,0.14979177713394165,0.15118756890296936,0.15258336067199707,0.15397915244102478,0.1553749442100525
English,middle,GS,T5,1.0,0.2001137137413025,,0.2001137137413025,0.2001137137413025,0.2001137137413025,0.2001137137413025,0.2001137137413025
English,middle,NGNS,GPT,1.0,0.1288655400276184,,0.1288655400276184,0.1288655400276184,0.1288655400276184,0.1288655400276184,0.1288655400276184
English,late,a,T5,1.0,0.15894091129302979,,0.15894091129302979,0.15894091129302979,0.15894091129302979,0.15894091129302979,0.15894091129302979
English,last,GNS,GPT,1.0,0.1323556900024414,,0.1323556900024414,0.1323556900024414,0.1323556900024414,0.1323556900024414,0.1323556900024414
English,last,a,T5,1.0,0.1443588137626648,,0.1443588137626648,0.1443588137626648,0.1443588137626648,0.1443588137626648,0.1443588137626648
Non-English,early,GNS,BERT,2.0,0.15043067932128906,0.01105157802913259,0.14261603355407715,0.1465233564376831,0.15043067932128906,0.15433800220489502,0.15824532508850098
Non-English,early,GNS,GPT,1.0,0.1088716983795166,,0.1088716983795166,0.1088716983795166,0.1088716983795166,0.1088716983795166,0.1088716983795166
Non-English,early,GNS,T5,2.0,0.1761208474636078,0.08091448914873012,0.11890566349029541,0.1475132554769516,0.1761208474636078,0.20472843945026398,0.23333603143692017
Non-English,early,GS,BERT,2.0,0.11919295787811279,0.00930551838902327,0.11261296272277832,0.11590296030044556,0.11919295787811279,0.12248295545578003,0.12577295303344727
Non-English,early,GS,GPT,1.0,0.18138593435287476,,0.18138593435287476,0.18138593435287476,0.18138593435287476,0.18138593435287476,0.18138593435287476
Non-English,early,GS,T5,3.0,0.10692926247914632,0.006195989367887671,0.10015946626663208,0.10423460602760315,0.10830974578857422,0.11031416058540344,0.11231857538223267
Non-English,early,NGNS,BERT,1.0,0.2161356806755066,,0.2161356806755066,0.2161356806755066,0.2161356806755066,0.2161356806755066,0.2161356806755066
Non-English,early,NGNS,GPT,2.0,0.19001591205596924,0.09349840014917328,0.12390255928039551,0.15695923566818237,0.19001591205596924,0.2230725884437561,0.25612926483154297
Non-English,early,NGNS,T5,1.0,0.15026074647903442,,0.15026074647903442,0.15026074647903442,0.15026074647903442,0.15026074647903442,0.15026074647903442
Non-English,early,a,BERT,1.0,0.10968589782714844,,0.10968589782714844,0.10968589782714844,0.10968589782714844,0.10968589782714844,0.10968589782714844
Non-English,early,a,GPT,1.0,0.11452394723892212,,0.11452394723892212,0.11452394723892212,0.11452394723892212,0.11452394723892212,0.11452394723892212
Non-English,early,v,BERT,1.0,0.10180121660232544,,0.10180121660232544,0.10180121660232544,0.10180121660232544,0.10180121660232544,0.10180121660232544
Non-English,early,v,GPT,2.0,0.10932856798171997,0.004629578427830644,0.10605496168136597,0.10769176483154297,0.10932856798171997,0.11096537113189697,0.11260217428207397
Non-English,early,v,T5,3.0,0.13642805814743042,0.030925190467546312,0.10089588165283203,0.12600669264793396,0.1511175036430359,0.15419414639472961,0.15727078914642334
Non-English,middle,GNS,BERT,5.0,0.15693827867507934,0.06087147395643924,0.10336536169052124,0.13055747747421265,0.13571149110794067,0.15420866012573242,0.26084840297698975
Non-English,middle,GNS,GPT,1.0,0.25174570083618164,,0.25174570083618164,0.25174570083618164,0.25174570083618164,0.25174570083618164,0.25174570083618164
Non-English,middle,GNS,T5,2.0,0.18647503852844238,0.06601224859909671,0.13979732990264893,0.16313618421554565,0.18647503852844238,0.2098138928413391,0.23315274715423584
Non-English,middle,GS,BERT,3.0,0.16976914803187051,0.01710427209822765,0.15006744861602783,0.16424405574798584,0.17842066287994385,0.17961999773979187,0.1808193325996399
Non-English,middle,GS,GPT,2.0,0.14365416765213013,0.00490091983854378,0.14018869400024414,0.14192143082618713,0.14365416765213013,0.14538690447807312,0.1471196413040161
Non-English,middle,GS,T5,2.0,0.12039479613304138,0.01356812420686956,0.11080068349838257,0.11559773981571198,0.12039479613304138,0.1251918524503708,0.1299889087677002
Non-English,middle,NGNS,GPT,1.0,0.11763030290603638,,0.11763030290603638,0.11763030290603638,0.11763030290603638,0.11763030290603638,0.11763030290603638
Non-English,middle,NGNS,T5,2.0,0.16065210103988647,0.001986212382924392,0.15924763679504395,0.1599498689174652,0.16065210103988647,0.16135433316230774,0.162056565284729
Non-English,middle,a,GPT,2.0,0.1117977499961853,0.016039404669305833,0.10045617818832397,0.10612696409225464,0.1117977499961853,0.11746853590011597,0.12313932180404663
Non-English,middle,v,GPT,1.0,0.10840892791748047,,0.10840892791748047,0.10840892791748047,0.10840892791748047,0.10840892791748047,0.10840892791748047
Non-English,middle,v,T5,2.0,0.16838312149047852,0.017514207192399038,0.15599870681762695,0.16219091415405273,0.16838312149047852,0.1745753288269043,0.18076753616333008
Non-English,late,GNS,BERT,3.0,0.13020203510920206,0.03171360308539212,0.10818016529083252,0.11202740669250488,0.11587464809417725,0.14121297001838684,0.16655129194259644
