layer,condition,model,count,mean,std,min,25%,50%,75%,max
early,GNS,BERT,3.0,0.13898217678070068,0.021313688552960015,0.11608517169952393,0.12935060262680054,0.14261603355407715,0.15043067932128906,0.15824532508850098
early,GNS,GPT,2.0,0.13362938165664673,0.035012651463455,0.1088716983795166,0.12125054001808167,0.13362938165664673,0.1460082232952118,0.15838706493377686
early,GNS,T5,4.0,0.17397882044315338,0.04691024264908829,0.11890566349029541,0.15541298687458038,0.17183679342269897,0.19040262699127197,0.23333603143692017
early,GS,BERT,2.0,0.11919295787811279,0.00930551838902327,0.11261296272277832,0.11590296030044556,0.11919295787811279,0.12248295545578003,0.12577295303344727
early,GS,GPT,1.0,0.18138593435287476,,0.18138593435287476,0.18138593435287476,0.18138593435287476,0.18138593435287476,0.18138593435287476
early,GS,T5,3.0,0.10692926247914632,0.006195989367887671,0.10015946626663208,0.10423460602760315,0.10830974578857422,0.11031416058540344,0.11231857538223267
early,NGNS,BERT,1.0,0.2161356806755066,,0.2161356806755066,0.2161356806755066,0.2161356806755066,0.2161356806755066,0.2161356806755066
early,NGNS,GPT,3.0,0.17645086844762167,0.0701641406953479,0.12390255928039551,0.136611670255661,0.1493207812309265,0.20272502303123474,0.25612926483154297
early,NGNS,T5,1.0,0.15026074647903442,,0.15026074647903442,0.15026074647903442,0.15026074647903442,0.15026074647903442,0.15026074647903442
early,a,BERT,1.0,0.10968589782714844,,0.10968589782714844,0.10968589782714844,0.10968589782714844,0.10968589782714844,0.10968589782714844
early,a,GPT,1.0,0.11452394723892212,,0.11452394723892212,0.11452394723892212,0.11452394723892212,0.11452394723892212,0.11452394723892212
early,v,BERT,1.0,0.10180121660232544,,0.10180121660232544,0.10180121660232544,0.10180121660232544,0.10180121660232544,0.10180121660232544
early,v,GPT,2.0,0.10932856798171997,0.004629578427830644,0.10605496168136597,0.10769176483154297,0.10932856798171997,0.11096537113189697,0.11260217428207397
early,v,T5,3.0,0.13642805814743042,0.030925190467546312,0.10089588165283203,0.12600669264793396,0.1511175036430359,0.15419414639472961,0.15727078914642334
middle,GNS,BERT,5.0,0.15693827867507934,0.06087147395643924,0.10336536169052124,0.13055747747421265,0.13571149110794067,0.15420866012573242,0.26084840297698975
middle,GNS,GPT,3.0,0.1856374740600586,0.057319422312706765,0.14979177713394165,0.15258336067199707,0.1553749442100525,0.20356032252311707,0.25174570083618164
middle,GNS,T5,2.0,0.18647503852844238,0.06601224859909671,0.13979732990264893,0.16313618421554565,0.18647503852844238,0.2098138928413391,0.23315274715423584
middle,GS,BERT,3.0,0.16976914803187051,0.01710427209822765,0.15006744861602783,0.16424405574798584,0.17842066287994385,0.17961999773979187,0.1808193325996399
middle,GS,GPT,2.0,0.14365416765213013,0.00490091983854378,0.14018869400024414,0.14192143082618713,0.14365416765213013,0.14538690447807312,0.1471196413040161
middle,GS,T5,3.0,0.14696776866912842,0.047015057220612076,0.11080068349838257,0.12039479613304138,0.1299889087677002,0.16505131125450134,0.2001137137413025
middle,NGNS,GPT,2.0,0.12324792146682739,0.007944512356909482,0.11763030290603638,0.12043911218643188,0.12324792146682739,0.1260567307472229,0.1288655400276184
middle,NGNS,T5,2.0,0.16065210103988647,0.001986212382924392,0.15924763679504395,0.1599498689174652,0.16065210103988647,0.16135433316230774,0.162056565284729
middle,a,GPT,2.0,0.1117977499961853,0.016039404669305833,0.10045617818832397,0.10612696409225464,0.1117977499961853,0.11746853590011597,0.12313932180404663
middle,v,GPT,1.0,0.10840892791748047,,0.10840892791748047,0.10840892791748047,0.10840892791748047,0.10840892791748047,0.10840892791748047
