model,layer,time_window,mean,std,count
BERT,early,W2,0.12954922914505004,0.03363910307530602,5
BERT,early,W3,0.1295147935549418,0.01822017392041497,6
BERT,early,W4,0.14508745819330215,0.058716672006080994,8
BERT,early,full_consolidation,0.1353694051504135,0.037544844908147475,8
BERT,last,W2,0.1288650631904602,0.011068073259159414,3
BERT,last,W3,0.1468964729990278,0.03798559871170683,7
BERT,last,W4,0.13895973988941737,0.030653992653916783,7
BERT,last,full_consolidation,0.137368106842041,0.034449871420846455,5
BERT,late,W2,0.14435511827468872,0.046475256519930314,5
BERT,late,W3,0.15497400079454696,0.043882206675904374,7
BERT,late,W4,0.1432177722454071,0.025736275454346046,10
BERT,late,full_consolidation,0.11903157830238342,0.02354293555386041,6
BERT,middle,W2,0.17228885889053344,0.04370262046093507,5
BERT,middle,W3,0.134382002055645,0.04368631273939559,8
BERT,middle,W4,0.15179861585299173,0.044903621230501733,6
BERT,middle,full_consolidation,0.16174985468387604,0.04738164371867468,8
GPT,early,W2,0.15294222235679628,0.03144824339632221,10
GPT,early,W3,0.15575838088989258,0.050730464291591046,15
GPT,early,W4,0.17038977146148682,0.07413583663279215,8
GPT,early,full_consolidation,0.1456864873568217,0.04887838490884897,9
GPT,last,W2,0.18012972474098204,0.08949488735218443,10
GPT,last,W3,0.15004987608302722,0.03769655901635381,11
GPT,last,W4,0.15254125744104385,0.040259459757603026,8
GPT,last,full_consolidation,0.1484329044818878,0.04117868580302532,10
GPT,late,W2,0.13965977089745657,0.03154528810658061,7
GPT,late,W3,0.13292638460795084,0.03202371020118575,12
GPT,late,W4,0.12220240490777153,0.02858931329223729,7
GPT,late,full_consolidation,0.13159908056259156,0.042484610794838534,5
GPT,middle,W2,0.18254600871693005,0.06160013810354904,11
GPT,middle,W3,0.158672163883845,0.05657833111327209,12
GPT,middle,W4,0.1423172222243415,0.036278210331451066,9
GPT,middle,full_consolidation,0.14227210283279418,0.0425425819936062,10
T5,early,W2,0.15219131112098694,0.047454129795381675,8
T5,early,W3,0.1446148157119751,0.0512390100448425,9
T5,early,W4,0.16711329221725463,0.06439050743762255,10
T5,early,full_consolidation,0.14329527183012528,0.040638162131506006,11
T5,last,W2,0.1696313222249349,0.054661839509677214,6
T5,last,W3,0.15700690746307372,0.07532237948021503,10
T5,last,W4,0.14758398135503134,0.029828614354172216,12
T5,last,full_consolidation,0.1557905375957489,0.1049447431517246,8
T5,late,W2,0.1435155017035348,0.027743028253803367,7
T5,late,W3,0.1369007494714525,0.03154024200349305,9
T5,late,W4,0.16437342762947083,0.07154914344791007,10
T5,late,full_consolidation,0.1733385225137075,0.06879352277163757,6
T5,middle,W2,0.1805170476436615,0.040618427704435994,6
T5,middle,W3,0.1416302224000295,0.03834404861922333,6
T5,middle,W4,0.15748431465842508,0.05727270221263009,11
T5,middle,full_consolidation,0.1635470920138889,0.03712930164870963,9
