parcLabel,time_window,mean,std,count
Amygdala,W4,0.10268455743789673,,1
Amygdala,full_consolidation,0.10968589782714844,,1
G_Ins_lg_and_S_cent_ins,W2,0.17944258451461792,,1
G_Ins_lg_and_S_cent_ins,W3,0.19096262454986573,0.06818353745147641,5
G_Ins_lg_and_S_cent_ins,full_consolidation,0.14925852417945862,0.041241492058031515,2
G_and_S_cingul-Ant,W2,0.22027124961217245,0.0982837414443717,6
G_and_S_cingul-Ant,W3,0.18573525051275888,0.058653351717765805,12
G_and_S_cingul-Ant,W4,0.1215652624766032,0.02378054871793027,3
G_and_S_cingul-Ant,full_consolidation,0.19449808001518248,0.08347555535353948,10
G_and_S_cingul-Mid-Ant,W2,0.1884097456932068,0.039094539612842656,12
G_and_S_cingul-Mid-Ant,W3,0.13354838556713527,0.023497295632191686,9
G_and_S_cingul-Mid-Ant,W4,0.13793164491653442,,1
G_and_S_cingul-Mid-Ant,full_consolidation,0.10973456501960754,0.0052037449450945536,2
G_and_S_cingul-Mid-Post,W3,0.12667196989059448,,1
G_and_S_subcentral,W2,0.13732328017552695,0.011837109920552107,3
G_front_inf-Opercular,W3,0.11275048553943634,0.0012225555843017816,4
G_front_inf-Triangul,W3,0.2056991010904312,0.017690826537853234,4
G_front_middle,W2,0.13965418934822083,0.025899902783218118,8
G_front_middle,W4,0.173100046813488,0.050200058803187085,16
G_front_middle,full_consolidation,0.1615254282951355,0.06468411710882142,2
G_front_sup,W3,0.22865667939186096,0.1728414019043262,2
G_front_sup,W4,0.10523444414138794,,1
G_insular_short,full_consolidation,0.1455942690372467,0.04981576262539078,2
G_orbital,W2,0.16411900520324707,,1
G_orbital,W3,0.14314183592796326,0.03861844079410751,2
G_orbital,full_consolidation,0.12476827204227448,0.025554808011771693,4
G_postcentral,W2,0.11674749851226807,,1
G_postcentral,W3,0.13783164024353028,0.03068102238008695,5
G_postcentral,W4,0.10528270403544109,0.002001889261032093,3
G_rectus,W2,0.1329904943704605,0.01500239751366383,4
G_rectus,W3,0.23831027746200562,,1
G_rectus,W4,0.19554401636123658,0.04692502631850036,5
G_temp_sup-Lateral,full_consolidation,0.1516498625278473,0.010311100047644692,2
G_temporal_inf,full_consolidation,0.13909316062927246,0.014464039765665635,2
G_temporal_middle,W2,0.1319335699081421,0.018070599998721244,4
G_temporal_middle,W3,0.13239422771665785,0.02407307031716283,9
G_temporal_middle,W4,0.10829088091850281,0.005316277030618641,2
G_temporal_middle,full_consolidation,0.11577427387237549,,1
Hippocampus,W2,0.16862855354944864,0.05101186031604603,3
Hippocampus,W3,0.11572578549385071,0.004274575522823384,2
Hippocampus,full_consolidation,0.10336536169052124,,1
Lat_Fis-ant-Horizont,W3,0.10696589946746826,,1
Lat_Fis-post,W2,0.10682976245880127,,1
Lat_Fis-post,W3,0.18644787867863974,0.03492263416079882,3
Lat_Fis-post,W4,0.11948324875398116,0.008853616954297412,11
Lat_Fis-post,full_consolidation,0.1341789722442627,0.02583458545823353,5
Pole_temporal,W2,0.10479539632797241,,1
Pole_temporal,W3,0.11542898416519165,,1
Pole_temporal,W4,0.1094282865524292,0.0024174589368878598,2
Pole_temporal,full_consolidation,0.11709679663181305,0.004095762366368565,4
S_circular_insula_inf,W2,0.1419737140337626,0.016803623237092082,3
S_circular_insula_inf,full_consolidation,0.10816457867622375,0.0028925803601511685,2
S_circular_insula_sup,W3,0.15498004108667374,0.03236041751941951,8
S_circular_insula_sup,W4,0.16323798894882202,,1
S_circular_insula_sup,full_consolidation,0.1514790157477061,0.030137270285534607,6
S_collat_transv_ant,W4,0.11856687068939209,0.02559131353472379,2
S_front_inf,W3,0.11422563195228577,0.0072528090972361296,10
S_front_inf,W4,0.19151600698630014,0.06978757169229062,12
S_front_middle,W4,0.15652132034301758,,1
S_front_sup,W2,0.17663108706474304,0.040842547301734096,10
S_front_sup,W3,0.16813135147094727,,1
S_front_sup,W4,0.1596656839052836,0.04956598773487997,3
S_intrapariet_and_P_trans,W2,0.1293280522028605,0.020932989363260067,3
S_intrapariet_and_P_trans,W3,0.1375766545534134,0.01378186271184389,4
S_intrapariet_and_P_trans,W4,0.1123088002204895,,1
S_intrapariet_and_P_trans,full_consolidation,0.1284925937652588,0.02013628253251006,5
S_oc-temp_lat,W4,0.12211906909942627,,1
S_oc-temp_med_and_Lingual,W4,0.12130461136500041,0.009762092157916721,3
S_oc_middle_and_Lunatus,full_consolidation,0.2001137137413025,,1
S_occipital_ant,full_consolidation,0.16819108724594117,0.07458669135301255,5
S_orbital-H_Shaped,W2,0.1613709463013543,0.08013797875369982,9
S_orbital-H_Shaped,W3,0.1572899123032888,0.029772714408139424,6
S_orbital-H_Shaped,W4,0.11050814390182495,0.014117171202420977,2
S_orbital-H_Shaped,full_consolidation,0.11929283539454143,0.014300993837460479,3
S_orbital_lateral,full_consolidation,0.15659717718760172,0.015095412888580942,6
S_orbital_med-olfact,W2,0.11989190181096394,0.01728715868062649,3
S_orbital_med-olfact,W3,0.13168483972549438,0.006509221709489779,4
S_pericallosal,W3,0.12175732851028442,,1
S_pericallosal,W4,0.148789644241333,,1
S_pericallosal,full_consolidation,0.11914932727813721,0.015329483152988333,2
S_postcentral,W3,0.12188506126403809,0.024459693889485115,5
S_postcentral,W4,0.15869687994321188,0.0474746031315163,6
S_postcentral,full_consolidation,0.13662853240966796,0.040628038799622,10
S_precentral-inf-part,W2,0.1497519165277481,0.028594571213780687,4
S_precentral-inf-part,W4,0.14887874234806409,0.03268945995210263,11
S_precentral-inf-part,full_consolidation,0.12174931168556213,0.022779706627913156,6
S_precentral-sup-part,W2,0.16295929749806723,0.040244038606508076,3
S_precentral-sup-part,W3,0.13338211178779602,0.03312965671253379,2
S_precentral-sup-part,W4,0.12578994035720825,,1
S_precentral-sup-part,full_consolidation,0.17774900794029236,0.0800273932378915,4
S_subparietal,W3,0.11414861679077148,,1
S_subparietal,W4,0.10429227352142334,0.002961962865050132,3
S_temporal_inf,W3,0.11030688881874084,0.002710084506098997,2
S_temporal_inf,W4,0.15357959270477295,0.028738241849736657,8
S_temporal_sup,W2,0.14251816272735596,0.03841799937620078,3
S_temporal_sup,W3,0.11989532198224749,0.016787455227724676,7
S_temporal_sup,W4,0.18629190921783448,0.0774981815684108,5
S_temporal_sup,full_consolidation,0.17294132709503174,0.06931250541507161,7
