subject,electrode,model,n_windows,mean_R2
1,electrode_124,GPT,1,0.10045617818832397
1,electrode_23,GPT,1,0.11633455753326416
1,electrode_52,BERT,1,0.10696589946746826
1,electrode_66,GPT,4,0.11709679663181305
1,electrode_83,GPT,4,0.11275048553943634
2,electrode_65,BERT,1,0.10225409269332886
3,electrode_0,T5,1,0.35087400674819946
3,electrode_1,T5,1,0.10643935203552246
3,electrode_10,BERT,1,0.15652132034301758
3,electrode_100,GPT,4,0.115195631980896
3,electrode_106,BERT,1,0.16706323623657227
3,electrode_106,GPT,4,0.2158483862876892
3,electrode_107,T5,1,0.12813407182693481
3,electrode_109,BERT,2,0.19553789496421814
3,electrode_109,T5,2,0.11365735530853271
3,electrode_112,BERT,3,0.1121483047803243
3,electrode_113,BERT,3,0.12884344657262167
3,electrode_113,T5,1,0.17519116401672363
3,electrode_117,BERT,1,0.2161356806755066
3,electrode_117,GPT,1,0.11431288719177246
3,electrode_118,BERT,2,0.12321606278419495
3,electrode_118,T5,6,0.1315674384435018
3,electrode_119,BERT,2,0.16892606019973755
3,electrode_119,GPT,7,0.11198595591953822
3,electrode_123,T5,1,0.1682678461074829
3,electrode_126,BERT,1,0.14261603355407715
3,electrode_126,T5,2,0.11858314275741577
3,electrode_13,BERT,2,0.11319279670715332
3,electrode_13,T5,3,0.14362114667892456
3,electrode_131,GPT,1,0.15349477529525757
3,electrode_135,T5,1,0.1168358325958252
3,electrode_137,GPT,2,0.10983413457870483
3,electrode_139,BERT,3,0.12236954768498738
3,electrode_14,T5,2,0.14611336588859558
3,electrode_141,BERT,2,0.10446006059646606
3,electrode_141,T5,4,0.13304679095745087
3,electrode_146,BERT,1,0.12175732851028442
3,electrode_147,GPT,1,0.1057618260383606
3,electrode_147,T5,1,0.11414861679077148
3,electrode_15,BERT,1,0.13720744848251343
3,electrode_15,GPT,7,0.20134549481528147
3,electrode_150,T5,1,0.10623210668563843
3,electrode_151,GPT,1,0.11765354871749878
3,electrode_153,GPT,2,0.10926088690757751
3,electrode_154,BERT,1,0.15006744861602783
3,electrode_154,GPT,2,0.137690931558609
3,electrode_154,T5,1,0.11080068349838257
3,electrode_155,GPT,4,0.1375766545534134
3,electrode_162,BERT,1,0.10968589782714844
3,electrode_163,T5,1,0.10268455743789673
3,electrode_167,BERT,2,0.10816457867622375
3,electrode_167,T5,2,0.1488935351371765
3,electrode_168,T5,1,0.10015946626663208
3,electrode_169,BERT,3,0.2020586133003235
3,electrode_169,T5,5,0.23766182661056517
3,electrode_170,T5,1,0.10803490877151489
3,electrode_173,GPT,2,0.11660006642341614
3,electrode_173,T5,1,0.13071370124816895
3,electrode_178,BERT,1,0.10180121660232544
3,electrode_178,GPT,1,0.11260217428207397
3,electrode_178,T5,3,0.2088506817817688
3,electrode_180,T5,1,0.14652425050735474
3,electrode_182,GPT,2,0.11015298962593079
3,electrode_182,T5,1,0.11205005645751953
3,electrode_184,BERT,3,0.15182757377624512
