time_window,model,test_R_2,test_R_2,test_R_2,test_R
,,mean,std,count,mean
W2,BERT,0.14542006784015232,0.03966609748215265,18,0.4787751684586207
W2,GPT,0.16621957797753184,0.060731839904587054,38,0.5157683679932042
W2,T5,0.16011219333719323,0.04343079692438157,27,0.49617761704656815
W3,BERT,0.1416156462260655,0.0375016897498653,28,0.43093486023800714
W3,GPT,0.14972213864326478,0.04554151177725235,50,0.5028828394412994
W3,T5,0.14569089693181655,0.05206625711928785,34,0.5152464140863979
W4,BERT,0.1443995891078826,0.03931402844606744,31,0.4547399676615192
W4,GPT,0.14899474766946608,0.04903248741004224,31,0.45350492577398976
W4,T5,0.15856284734814666,0.055314154780062595,43,0.47736633932867717
full_consolidation,BERT,0.13992533639625268,0.03909037514994227,27,0.47248016353006717
full_consolidation,GPT,0.14341834888738744,0.04224456637043313,34,0.528586399029283
full_consolidation,T5,0.1568978604148416,0.06333285012478443,34,0.4718777686357498
