subject,electrode_idx,model,condition,layer,time_window,test_R_2,train_R_2,best_alpha,cv_R_2_mean
1,66,GPT,a,early,full_consolidation,0.11452394723892212,0.029417693614959717,193069.77288832495,-0.06360279321670533
1,66,GPT,a,middle,full_consolidation,0.12313932180404663,0.0376129150390625,193069.77288832495,-0.061763548851013185
1,66,GPT,a,late,full_consolidation,0.11612838506698608,0.03634566068649292,193069.77288832495,-0.06281646490097045
1,66,GPT,a,last,full_consolidation,0.11459553241729736,0.036160290241241455,193069.77288832495,-0.06200751066207886
1,124,GPT,a,middle,full_consolidation,0.10045617818832397,0.028761446475982666,1000000.0,-0.035423672199249266
1,94,GPT,NGNS,early,full_consolidation,0.11337476968765259,0.12080967426300049,37275.93720314938,-0.03831145763397217
1,94,GPT,NGNS,middle,full_consolidation,0.10241299867630005,0.12824851274490356,37275.93720314938,-0.042345058917999265
1,94,GPT,NGNS,late,full_consolidation,0.10125231742858887,0.13013124465942383,37275.93720314938,-0.04274405241012573
2,92,BERT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,BERT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
