subject,electrode_idx,model,mean_r2,std_r2,max_r2,min_r2,range_r2,best_alpha_mean,n_combinations,combinations,robust,subjectNum,elecNum,isRejectManual,parcLabel,ctxParc,wmParc,isRejectFSL_2wm,isRejectFSL,isWM,unknown_wmParc,groupLabels,isLeft,groupAvgCoords,Elec_index
1,66,GPT,0.11709679663181305,0.0035470342571394444,0.12313932180404663,0.11452394723892212,0.008615374565124512,193069.77288832495,4,"[('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation')]",False,1.0,67.0,0.0,Pole_temporal,Right-Cerebral-White-Matter,Pole_temporal,0.0,0.0,1.0,0.0,RBT3 s1 e67,0.0,[ 40.37468638   1.45565888 -42.37821948],66.0
1,124,GPT,0.10045617818832397,0.0,0.10045617818832397,0.10045617818832397,0.0,1000000.0,1,"[('a', 'middle', 'full_consolidation')]",False,1.0,125.0,0.0,S_temporal_sup,ctx_rh_S_temporal_sup,S_temporal_sup,0.0,0.0,0.0,0.0,RPT1 s1 e125,0.0,[ 51.49501338 -37.71659812   7.23363452],124.0
1,94,GPT,0.10568002859751384,0.005461597786539479,0.11337476968765259,0.10125231742858887,0.01212245225906372,37275.93720314938,3,"[('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation')]",False,,,,,,,,,,,,,,
2,92,BERT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,93,BERT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,94,BERT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,95,BERT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,96,BERT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,92,GPT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
2,93,GPT,1.0,0.0,1.0,1.0,0.0,10.0,24,"[('overall', 'early', 'full_consolidation'), ('overall', 'middle', 'full_consolidation'), ('overall', 'late', 'full_consolidation'), ('overall', 'last', 'full_consolidation'), ('a', 'early', 'full_consolidation'), ('a', 'middle', 'full_consolidation'), ('a', 'late', 'full_consolidation'), ('a', 'last', 'full_consolidation'), ('v', 'early', 'full_consolidation'), ('v', 'middle', 'full_consolidation'), ('v', 'late', 'full_consolidation'), ('v', 'last', 'full_consolidation'), ('GS', 'early', 'full_consolidation'), ('GS', 'middle', 'full_consolidation'), ('GS', 'late', 'full_consolidation'), ('GS', 'last', 'full_consolidation'), ('GNS', 'early', 'full_consolidation'), ('GNS', 'middle', 'full_consolidation'), ('GNS', 'late', 'full_consolidation'), ('GNS', 'last', 'full_consolidation'), ('NGNS', 'early', 'full_consolidation'), ('NGNS', 'middle', 'full_consolidation'), ('NGNS', 'late', 'full_consolidation'), ('NGNS', 'last', 'full_consolidation')]",True,,,,,,,,,,,,,,
