subject,model,layer,n_electrodes,mean_test_R2,std_test_R2,mean_train_R2
1,BERT,early,2,0.13250572600367994,0.039254095913827634,0.11524590069126495
1,BERT,last,2,0.12857211086688725,0.03404827233338081,0.17418621797649253
1,BERT,late,9,0.12297122444421878,0.016922918906613467,0.09475133042585103
1,BERT,middle,5,0.12384274984378787,0.028124941525827046,0.09777459120848653
1,GPT,early,6,0.17863795546845176,0.06126246955144784,0.18618140358488547
1,GPT,last,5,0.18879530873557887,0.05865274858339378,0.17923713647653688
1,GPT,late,6,0.1883679089360364,0.05374993961651791,0.18664097293207582
1,GPT,middle,6,0.18825738954285356,0.054049303352650006,0.18662537878962604
1,T5,early,8,0.20127614156551404,0.06285894603956749,0.22026717497518022
1,T5,last,1,0.29580778248176387,,0.28397579966717856
1,T5,late,6,0.20285762075404334,0.05493382322443613,0.22795998558452313
1,T5,middle,6,0.2111983166762347,0.04612967860184408,0.22795840853522017
8,BERT,early,2,0.11253027522702341,0.0020655203754647773,0.10020440737465863
8,BERT,last,3,0.12756984300085272,0.008874294151577835,0.12308948633280965
8,BERT,late,5,0.1915377537512736,0.04698906846596265,0.18231507101830136
8,BERT,middle,7,0.13804484855265384,0.030321355098527132,0.16052680401003197
8,GPT,early,3,0.2550301406936055,0.0637265441405903,0.2876218338737842
8,GPT,last,5,0.21789380091555338,0.07270244501555743,0.2435136174892974
8,GPT,late,3,0.2589387751036747,0.06358967479746414,0.28766600181289964
8,GPT,middle,2,0.2191727998126819,0.017023288769331502,0.24370877459484153
8,T5,early,3,0.2457097828427385,0.07518220714796663,0.2652405920429388
8,T5,late,2,0.2406916786257287,0.03893948788347131,0.21585874988131792
8,T5,middle,3,0.22508436257711417,0.05474862291987961,0.2244212043265328
12,BERT,early,6,0.12483742011487493,0.03355984191562407,0.12406779365665616
12,BERT,last,7,0.1481866723764455,0.0412784324236489,0.17045077683670629
12,BERT,late,3,0.18531020496052072,0.08046094172544069,0.19703865283681074
12,BERT,middle,5,0.17662535402734858,0.058638050112838985,0.20160569705489556
12,T5,last,1,0.1378457076203352,,0.16802156260586643
12,T5,middle,1,0.14161540050518873,,0.17947133747866073
