model,layer,region,test_R_2,test_R_2,test_R_2,electrode
,,,mean,std,count,count
BERT,early,G_and_S_cingul-Ant,0.13178637743787888,0.04063409271427245,4,4
BERT,early,G_and_S_cingul-Mid-Post,0.11501059325299323,,1,1
BERT,early,G_front_inf-Opercular,0.11501059325299323,,1,1
BERT,early,G_front_inf-Triangul,0.11399081869119354,,1,1
BERT,early,G_front_middle,0.11501059325299323,,1,1
BERT,early,G_front_sup,0.10516039875150796,,1,1
BERT,early,G_oc-temp_lat-fusifor,0.10023593380029672,,1,1
BERT,early,G_oc-temp_med-Lingual,0.11501059325299323,,1,1
BERT,early,G_occipital_middle,0.19153404455887002,,1,1
BERT,early,G_pariet_inf-Angular,0.12582127324130588,,1,1
BERT,early,G_pariet_inf-Supramar,0.15832125610146233,0.03422476033939504,3,3
BERT,early,G_postcentral,0.1231671603318224,,1,1
BERT,early,G_precentral,0.10474888859366527,,1,1
BERT,early,G_rectus,0.10854903236570623,0.005598101861215287,3,3
BERT,early,G_temp_sup-Lateral,0.14151529191161277,0.045852445708040486,5,5
BERT,early,G_temporal_inf,0.10728390610931515,,1,1
BERT,early,G_temporal_middle,0.15269418379878325,0.020024050288786222,7,7
BERT,early,Hippocampus,0.1068531233726679,0.0023128719712864187,6,6
BERT,early,Inf-Lat-Vent,0.10516039875150796,,1,1
BERT,early,Lat_Fis-ant-Horizont,0.10917681893608422,0.002676982992006807,2,2
BERT,early,Lat_Fis-ant-Vertical,0.1602625634136946,,1,1
BERT,early,Lat_Fis-post,0.1306195361593809,0.04078276653454013,4,4
BERT,early,Lateral-Ventricle,0.11399081869119354,,1,1
BERT,early,Pole_temporal,0.11059866917778687,0.01917146610887164,9,9
BERT,early,S_cingul-Marginalis,0.1117928826359521,,1,1
BERT,early,S_circular_insula_inf,0.10023593380029672,,1,1
BERT,early,S_circular_insula_sup,0.12259413444110216,0.03281160441619099,3,3
BERT,early,S_collat_transv_ant,0.11399081869119354,,1,1
BERT,early,S_front_inf,0.12620540042862102,0.029555048332114888,3,3
BERT,early,S_front_sup,0.11091441544954284,0.0038653900218125954,6,6
BERT,early,S_intrapariet_and_P_trans,0.11700283078879148,,1,1
BERT,early,S_oc-temp_lat,0.10474888859366527,,1,1
BERT,early,S_oc-temp_med_and_Lingual,0.11114724968115419,0.005463592875401686,2,2
BERT,early,S_oc_middle_and_Lunatus,0.11106973176285329,,1,1
BERT,early,S_orbital-H_Shaped,0.11732095791885533,0.005693808209700701,3,3
BERT,early,S_orbital_lateral,0.13566614758827394,0.034784584846078125,2,2
BERT,early,S_orbital_med-olfact,0.11027640453650393,0.005176646761646835,3,3
BERT,early,S_parieto_occipital,0.10516039875150796,,1,1
BERT,early,S_pericallosal,0.13271148108260128,0.038963114290689924,2,2
BERT,early,S_postcentral,0.11700283078879148,,1,1
BERT,early,S_precentral-inf-part,0.132172955650944,0.051457709310586006,3,3
BERT,early,S_precentral-sup-part,0.10023593380029672,,1,1
BERT,early,S_suborbital,0.12582127324130588,,1,1
BERT,early,S_subparietal,0.1156486891669617,0.0143862063623181,2,2
BERT,early,S_temporal_inf,0.11175518116390075,0.0038722377845787775,3,3
BERT,early,S_temporal_sup,0.11005038612051643,0.007236879530146634,11,11
BERT,early,S_temporal_transverse,0.11108161477014972,0.008373863999304001,2,2
BERT,last,Amygdala,0.13242560892720484,0.007464012530583411,8,8
BERT,last,G_and_S_cingul-Ant,0.12995392982207793,0.019305144364586135,13,13
BERT,last,G_and_S_cingul-Mid-Ant,0.13220426143372624,0.004723013021638039,3,3
BERT,last,G_and_S_cingul-Mid-Post,0.1623566238959564,0.054934181717714366,3,3
BERT,last,G_front_inf-Opercular,0.13431870872123675,,1,1
BERT,last,G_front_inf-Triangul,0.13127089963311614,0.003160369854626395,3,3
BERT,last,G_front_middle,0.12246900232209923,0.007899805897092943,4,4
BERT,last,G_front_sup,0.13641813594218466,,1,1
BERT,last,G_insular_short,0.13641813594218466,,1,1
BERT,last,G_oc-temp_lat-fusifor,0.1650742006196646,0.08567002271671852,2,2
BERT,last,G_oc-temp_med-Lingual,0.13431870872123675,,1,1
BERT,last,G_oc-temp_med-Parahip,0.1262355231750835,0.007330062702041097,3,3
BERT,last,G_occipital_middle,0.16064692621341292,,1,1
BERT,last,G_orbital,0.1672317938747846,,1,1
BERT,last,G_pariet_inf-Angular,0.122373366064079,,1,1
BERT,last,G_pariet_inf-Supramar,0.15664740066746002,0.005656183270144246,2,2
BERT,last,G_precentral,0.1234257451285173,0.008374659952451905,3,3
BERT,last,G_rectus,0.1513007720332022,0.050007702629774,4,4
BERT,last,G_temp_sup-Lateral,0.13244462153804104,0.024157883079108648,6,6
BERT,last,G_temporal_inf,0.16368383715375073,0.08763629358684197,2,2
BERT,last,G_temporal_middle,0.15264787512150713,0.0,6,6
BERT,last,Hippocampus,0.14578534300860935,0.035732249301644495,8,8
BERT,last,Inf-Lat-Vent,0.11852268970045188,,1,1
BERT,last,Lat_Fis-ant-Horizont,0.1509918363052752,0.028128431623153042,3,3
BERT,last,Lat_Fis-ant-Vertical,0.1428717075704653,0.013825588738715117,2,2
BERT,last,Lat_Fis-post,0.13157108684306204,0.018311292285100284,5,5
BERT,last,Lateral-Ventricle,0.1276216188605015,,1,1
BERT,last,Pole_temporal,0.1339597787650273,0.04190848844400068,20,20
BERT,last,S_calcarine,0.11851192116625642,,1,1
BERT,last,S_cingul-Marginalis,0.11464606349875928,,1,1
BERT,last,S_circular_insula_ant,0.1672317938747846,,1,1
BERT,last,S_circular_insula_inf,0.11879594331584542,0.020222683594665686,2,2
BERT,last,S_circular_insula_sup,0.1252187143000103,0.02476647391229237,3,3
BERT,last,S_collat_transv_ant,0.15186797254167614,0.049190004756184076,4,4
BERT,last,S_front_inf,0.12915301160712342,0.025693993632557057,3,3
BERT,last,S_front_middle,0.10171561968043963,,1,1
BERT,last,S_front_sup,0.12114511906548603,0.012952999590030934,4,4
BERT,last,S_interm_prim-Jensen,0.122373366064079,,1,1
BERT,last,S_oc-temp_lat,0.11866977419987201,,1,1
BERT,last,S_oc-temp_med_and_Lingual,0.13070890853040368,0.005105028387333111,2,2
BERT,last,S_oc_middle_and_Lunatus,0.1672317938747846,,1,1
BERT,last,S_orbital-H_Shaped,0.11969225354271068,0.00526345580328025,4,4
BERT,last,S_orbital_lateral,0.18914996487428448,0.05162175038333772,2,2
BERT,last,S_orbital_med-olfact,0.12698232714093632,0.009721470815467002,4,4
BERT,last,S_parieto_occipital,0.11852268970045188,0.0,2,2
BERT,last,S_pericallosal,0.16000518314300285,0.062294923250710836,3,3
BERT,last,S_precentral-inf-part,0.14636769354333862,0.0489541075372169,5,5
BERT,last,S_precentral-sup-part,0.10449634661226737,,1,1
BERT,last,S_suborbital,0.1672317938747846,,1,1
BERT,last,S_subparietal,0.11813321644493957,,1,1
BERT,last,S_temporal_inf,0.16029843078268827,0.05659789847859994,3,3
BERT,last,S_temporal_sup,0.12000061281461406,0.009838313746933973,11,11
BERT,last,S_temporal_transverse,0.11852268970045188,,1,1
BERT,late,Amygdala,0.16409791904367382,0.031431448393255866,16,16
BERT,late,G_and_S_cingul-Ant,0.1605453792860151,0.05329815502530681,21,21
BERT,late,G_and_S_cingul-Mid-Ant,0.16814437564971824,0.036621605236955734,2,2
BERT,late,G_and_S_cingul-Mid-Post,0.1780773025102731,,1,1
BERT,late,G_and_S_subcentral,0.11974739415197067,,1,1
BERT,late,G_front_inf-Opercular,0.14891234833112188,0.041245473746145525,2,2
BERT,late,G_front_inf-Triangul,0.26147130589944145,0.0,2,2
BERT,late,G_front_middle,0.16728750814141122,0.05672310093380642,8,8
BERT,late,G_front_sup,0.14941745764286227,0.04150497993219888,3,3
BERT,late,G_insular_short,0.1483328858192368,0.042989026192454274,3,3
BERT,late,G_oc-temp_med-Lingual,0.1780773025102731,,1,1
BERT,late,G_oc-temp_med-Parahip,0.16886377009102205,0.05973184860335875,3,3
BERT,late,G_occipital_middle,0.26914340621301514,,1,1
BERT,late,G_orbital,0.12977041509239962,,1,1
BERT,late,G_pariet_inf-Angular,0.15315349220164984,0.04631396145682104,4,4
BERT,late,G_pariet_inf-Supramar,0.2653073560562283,0.005424994157671388,2,2
BERT,late,G_precentral,0.16788156628441203,0.05280159213196509,5,5
BERT,late,G_rectus,0.16663334892717765,0.06417483596341544,5,5
