subject,condition,layer,model,region,n_electrodes,observed_r2,p_value,n_permutations_used,p_value_fdr,significant_fdr
1,overall,early,BERT,G_insular_short,9,-0.01111368,0.11764705882352941,101,0.816442239546421,False
1,overall,early,BERT,G_front_inf-Triangul,2,-0.00298557,0.37254901960784315,101,0.9820971867007673,False
1,overall,early,BERT,Lat_Fis-ant-Vertical,3,-0.005705986,0.39215686274509803,101,0.9820971867007673,False
1,overall,early,BERT,S_front_inf,6,-0.01428726,0.6862745098039216,101,0.9820971867007673,False
1,overall,early,BERT,G_front_middle,3,-0.0050352137,0.803921568627451,101,0.9846762234305487,False
1,overall,early,BERT,G_and_S_cingul-Ant,12,-0.0045762374,0.2549019607843137,101,0.9563567362428843,False
1,overall,early,BERT,S_front_sup,4,-0.0022286456,0.029411764705882353,101,0.7158243579121789,False
1,overall,early,BERT,G_front_sup,5,-0.009510383,0.6470588235294118,101,0.9820971867007673,False
1,overall,early,BERT,Hippocampus,7,-0.022472298,0.16666666666666666,101,0.8818694601128122,False
1,overall,early,BERT,Inf-Lat-Vent,1,-0.027599618,0.9117647058823529,101,0.9885821650527533,False
1,overall,early,BERT,S_temporal_inf,7,-0.0057930835,0.5882352941176471,101,0.9820971867007673,False
1,overall,early,BERT,Lat_Fis-ant-Horizont,1,0.00080790184,0.20588235294117646,101,0.9006701414743112,False
1,overall,early,BERT,S_circular_insula_sup,2,-0.013263106,0.8529411764705882,101,0.9876985014538135,False
1,overall,early,BERT,S_front_middle,5,-0.012160505,0.7156862745098039,101,0.9846762234305487,False
1,overall,early,BERT,Pole_temporal,5,-0.013727104,0.8431372549019608,101,0.9876985014538135,False
1,overall,early,BERT,S_temporal_sup,8,-0.013946368,0.4411764705882353,101,0.9820971867007673,False
1,overall,early,BERT,G_temporal_middle,3,-0.0014118868,0.2647058823529412,101,0.9563567362428843,False
1,overall,early,BERT,G_temp_sup-Lateral,6,-0.0021952924,0.10784313725490197,101,0.8067226890756303,False
1,overall,early,BERT,G_front_inf-Opercular,6,-0.006772181,0.4411764705882353,101,0.9820971867007673,False
1,overall,early,BERT,S_pericallosal,3,-0.017819902,0.9019607843137255,101,0.9876985014538135,False
1,overall,early,BERT,S_subparietal,1,0.00020713986,0.3431372549019608,101,0.9820971867007673,False
1,overall,early,BERT,S_cingul-Marginalis,4,-0.0095705725,0.3627450980392157,101,0.9820971867007673,False
1,overall,early,BERT,S_central,6,-0.01882062,0.9019607843137255,101,0.9876985014538135,False
1,overall,early,BERT,G_postcentral,1,-0.00824849,0.5196078431372549,101,0.9820971867007673,False
1,overall,early,GPT,G_insular_short,9,-0.04197285,0.24509803921568626,101,0.9563567362428843,False
1,overall,early,GPT,G_front_inf-Triangul,2,-0.066153005,0.8823529411764706,101,0.9876985014538135,False
1,overall,early,GPT,Lat_Fis-ant-Vertical,3,-0.03306888,0.2549019607843137,101,0.9563567362428843,False
1,overall,early,GPT,S_front_inf,6,-0.056945473,0.4803921568627451,101,0.9820971867007673,False
1,overall,early,GPT,G_front_middle,3,-0.031117663,0.5294117647058824,101,0.9820971867007673,False
1,overall,early,GPT,G_and_S_cingul-Ant,12,-0.047930796,0.6568627450980392,101,0.9820971867007673,False
1,overall,early,GPT,S_front_sup,4,-0.035462752,0.27450980392156865,101,0.9563567362428843,False
1,overall,early,GPT,G_front_sup,5,-0.05515797,0.6568627450980392,101,0.9820971867007673,False
1,overall,early,GPT,Hippocampus,7,-0.07956989,0.6568627450980392,101,0.9820971867007673,False
1,overall,early,GPT,Inf-Lat-Vent,1,-0.12398606,0.9313725490196079,101,0.9885821650527533,False
1,overall,early,GPT,S_temporal_inf,7,-0.026363377,0.058823529411764705,101,0.7158243579121789,False
1,overall,early,GPT,Lat_Fis-ant-Horizont,1,-0.07718041,0.8137254901960784,101,0.9846762234305487,False
1,overall,early,GPT,S_circular_insula_sup,2,-0.013039947,0.10784313725490197,101,0.8067226890756303,False
1,overall,early,GPT,S_front_middle,5,-0.07636048,0.9901960784313726,101,0.9977019379180244,False
1,overall,early,GPT,Pole_temporal,5,-0.05469971,0.5392156862745098,101,0.9820971867007673,False
1,overall,early,GPT,S_temporal_sup,8,-0.06048885,0.2647058823529412,101,0.9563567362428843,False
1,overall,early,GPT,G_temporal_middle,3,-0.02861023,0.3137254901960784,101,0.9750317393144309,False
1,overall,early,GPT,G_temp_sup-Lateral,6,-0.02157648,0.0196078431372549,101,0.7158243579121789,False
1,overall,early,GPT,G_front_inf-Opercular,6,-0.061954945,0.4803921568627451,101,0.9820971867007673,False
1,overall,early,GPT,S_pericallosal,3,-0.017936682,0.13725490196078433,101,0.8531527719001271,False
1,overall,early,GPT,S_subparietal,1,-0.049320728,0.5196078431372549,101,0.9820971867007673,False
1,overall,early,GPT,S_cingul-Marginalis,4,-0.060849022,0.8627450980392157,101,0.9876985014538135,False
1,overall,early,GPT,S_central,6,-0.06310176,0.8137254901960784,101,0.9846762234305487,False
1,overall,early,GPT,G_postcentral,1,-0.012229851,0.16666666666666666,101,0.8818694601128122,False
1,overall,early,T5,G_insular_short,9,-0.1176413,0.2647058823529412,101,0.9563567362428843,False
1,overall,early,T5,G_front_inf-Triangul,2,-0.1917543,0.9705882352941176,101,0.9953569558387153,False
1,overall,early,T5,Lat_Fis-ant-Vertical,3,-0.1025863,0.2647058823529412,101,0.9563567362428843,False
1,overall,early,T5,S_front_inf,6,-0.11054935,0.058823529411764705,101,0.7158243579121789,False
1,overall,early,T5,G_front_middle,3,-0.14401561,0.8333333333333334,101,0.9869773817683345,False
1,overall,early,T5,G_and_S_cingul-Ant,12,-0.13901757,0.803921568627451,101,0.9846762234305487,False
1,overall,early,T5,S_front_sup,4,-0.10802257,0.27450980392156865,101,0.9563567362428843,False
1,overall,early,T5,G_front_sup,5,-0.1355633,0.4803921568627451,101,0.9820971867007673,False
1,overall,early,T5,Hippocampus,7,-0.18556346,0.7058823529411765,101,0.9820971867007673,False
1,overall,early,T5,Inf-Lat-Vent,1,-0.27205777,0.9607843137254902,101,0.9947485285306453,False
1,overall,early,T5,S_temporal_inf,7,-0.1033111,0.2549019607843137,101,0.9563567362428843,False
1,overall,early,T5,Lat_Fis-ant-Horizont,1,-0.12055116,0.5294117647058824,101,0.9820971867007673,False
1,overall,early,T5,S_circular_insula_sup,2,-0.12422311,0.7058823529411765,101,0.9820971867007673,False
1,overall,early,T5,S_front_middle,5,-0.1672941,0.8823529411764706,101,0.9876985014538135,False
1,overall,early,T5,Pole_temporal,5,-0.09802062,0.10784313725490197,101,0.8067226890756303,False
1,overall,early,T5,S_temporal_sup,8,-0.19251658,0.3137254901960784,101,0.9750317393144309,False
1,overall,early,T5,G_temporal_middle,3,-0.16916676,0.8823529411764706,101,0.9876985014538135,False
1,overall,early,T5,G_temp_sup-Lateral,6,-0.13914083,0.11764705882352941,101,0.816442239546421,False
1,overall,early,T5,G_front_inf-Opercular,6,-0.08253456,0.049019607843137254,101,0.7158243579121789,False
1,overall,early,T5,S_pericallosal,3,-0.16260445,0.7941176470588235,101,0.9846762234305487,False
1,overall,early,T5,S_subparietal,1,-0.06841558,0.049019607843137254,101,0.7158243579121789,False
1,overall,early,T5,S_cingul-Marginalis,4,-0.13697192,0.803921568627451,101,0.9846762234305487,False
1,overall,early,T5,S_central,6,-0.14195608,0.5882352941176471,101,0.9820971867007673,False
1,overall,early,T5,G_postcentral,1,-0.17891216,0.8529411764705882,101,0.9876985014538135,False
1,overall,middle,BERT,G_insular_short,9,-0.019631097,0.2647058823529412,101,0.9563567362428843,False
1,overall,middle,BERT,G_front_inf-Triangul,2,-0.009330659,0.3431372549019608,101,0.9820971867007673,False
1,overall,middle,BERT,Lat_Fis-ant-Vertical,3,-0.009341961,0.17647058823529413,101,0.8818694601128122,False
1,overall,middle,BERT,S_front_inf,6,-0.027606132,0.7450980392156863,101,0.9846762234305487,False
1,overall,middle,BERT,G_front_middle,3,-0.01498048,0.696078431372549,101,0.9820971867007673,False
